0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
21.0;65.0;24.0;64.0;25.0;62.0;26.0;61.0;28.0;59.0;29.0;57.0;32.0;54.0;33.0;52.0;34.0;50.0;36.0;47.0;38.0;44.0;39.0;43.0;40.0;41.0;41.0;39.0;41.0;42.0;41.0;43.0;41.0;45.0;41.0;47.0;41.0;49.0;41.0;52.0;40.0;55.0;40.0;61.0;40.0;63.0;40.0;66.0;40.0;54.0;38.0;55.0;37.0;55.0;35.0;55.0;27.0;55.0;24.0;55.0;25.0;55.0;30.0;55.0;A
36.0;47.0;34.0;63.0;36.0;65.0;37.0;64.0;38.0;64.0;39.0;63.0;40.0;63.0;41.0;61.0;42.0;60.0;43.0;59.0;44.0;58.0;45.0;57.0;46.0;56.0;45.0;46.0;44.0;46.0;43.0;45.0;41.0;45.0;40.0;45.0;39.0;45.0;38.0;45.0;36.0;45.0;37.0;45.0;42.0;42.0;45.0;31.0;44.0;31.0;43.0;31.0;41.0;32.0;40.0;32.0;38.0;33.0;37.0;33.0;36.0;33.0;35.0;33.0;B
48.0;28.0;46.0;27.0;45.0;27.0;44.0;28.0;42.0;29.0;38.0;32.0;36.0;34.0;34.0;35.0;32.0;37.0;31.0;38.0;30.0;40.0;29.0;42.0;28.0;44.0;27.0;47.0;26.0;49.0;26.0;51.0;26.0;52.0;26.0;54.0;26.0;55.0;27.0;55.0;28.0;56.0;29.0;56.0;31.0;57.0;32.0;57.0;34.0;57.0;36.0;56.0;38.0;56.0;40.0;56.0;42.0;55.0;45.0;53.0;48.0;52.0;49.0;51.0;C
40.0;28.0;39.0;28.0;39.0;34.0;38.0;36.0;38.0;43.0;37.0;47.0;37.0;52.0;37.0;55.0;36.0;59.0;36.0;61.0;35.0;64.0;36.0;66.0;37.0;65.0;38.0;65.0;39.0;64.0;41.0;63.0;43.0;61.0;45.0;58.0;49.0;54.0;50.0;53.0;52.0;48.0;52.0;46.0;52.0;40.0;51.0;39.0;49.0;37.0;48.0;36.0;47.0;36.0;44.0;34.0;42.0;34.0;40.0;33.0;37.0;32.0;38.0;32.0;D
54.0;26.0;49.0;27.0;44.0;28.0;38.0;30.0;32.0;32.0;30.0;32.0;27.0;32.0;28.0;33.0;28.0;38.0;28.0;43.0;28.0;49.0;28.0;52.0;28.0;59.0;28.0;63.0;28.0;67.0;28.0;71.0;31.0;71.0;32.0;70.0;34.0;69.0;37.0;69.0;39.0;68.0;41.0;68.0;44.0;67.0;44.0;45.0;42.0;46.0;39.0;47.0;37.0;48.0;35.0;49.0;33.0;50.0;30.0;52.0;28.0;52.0;26.0;53.0;E
35.0;25.0;34.0;25.0;34.0;28.0;34.0;30.0;32.0;39.0;31.0;47.0;31.0;51.0;31.0;55.0;30.0;58.0;30.0;61.0;30.0;62.0;30.0;66.0;53.0;23.0;50.0;24.0;48.0;25.0;45.0;26.0;42.0;27.0;39.0;29.0;37.0;30.0;34.0;32.0;33.0;32.0;31.0;33.0;30.0;34.0;31.0;35.0;32.0;34.0;44.0;50.0;42.0;49.0;41.0;49.0;38.0;50.0;35.0;51.0;34.0;52.0;33.0;52.0;F
43.0;22.0;44.0;22.0;42.0;21.0;41.0;21.0;39.0;22.0;37.0;23.0;35.0;24.0;32.0;27.0;30.0;29.0;29.0;30.0;28.0;32.0;27.0;36.0;27.0;44.0;28.0;50.0;29.0;58.0;31.0;59.0;35.0;60.0;37.0;60.0;38.0;59.0;39.0;57.0;41.0;56.0;42.0;54.0;43.0;52.0;44.0;51.0;44.0;41.0;43.0;39.0;42.0;38.0;41.0;38.0;39.0;38.0;37.0;38.0;34.0;38.0;35.0;38.0;G
37.0;28.0;35.0;32.0;34.0;35.0;32.0;39.0;31.0;43.0;29.0;48.0;28.0;53.0;27.0;58.0;26.0;63.0;25.0;66.0;24.0;70.0;25.0;70.0;27.0;68.0;28.0;65.0;49.0;32.0;46.0;36.0;45.0;39.0;43.0;42.0;42.0;47.0;39.0;56.0;37.0;64.0;36.0;68.0;40.0;53.0;39.0;51.0;38.0;50.0;36.0;49.0;34.0;49.0;32.0;49.0;28.0;51.0;26.0;52.0;25.0;53.0;24.0;54.0;H
40.0;33.0;39.0;34.0;38.0;36.0;37.0;40.0;37.0;43.0;36.0;47.0;36.0;51.0;36.0;55.0;36.0;58.0;36.0;61.0;35.0;63.0;45.0;67.0;43.0;66.0;41.0;66.0;39.0;67.0;36.0;68.0;33.0;69.0;30.0;71.0;27.0;72.0;25.0;73.0;22.0;74.0;46.0;26.0;44.0;27.0;42.0;28.0;39.0;30.0;37.0;32.0;34.0;33.0;32.0;35.0;30.0;36.0;28.0;38.0;27.0;39.0;26.0;41.0;I
48.0;20.0;49.0;22.0;49.0;23.0;48.0;25.0;48.0;27.0;47.0;33.0;46.0;38.0;44.0;44.0;43.0;47.0;42.0;49.0;41.0;51.0;39.0;54.0;37.0;55.0;34.0;55.0;32.0;55.0;31.0;55.0;30.0;54.0;30.0;52.0;30.0;49.0;31.0;47.0;32.0;46.0;33.0;45.0;56.0;18.0;55.0;18.0;54.0;18.0;52.0;18.0;50.0;19.0;48.0;20.0;44.0;22.0;41.0;24.0;38.0;25.0;36.0;26.0;J
