0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;label
42.0;38.0;43.0;38.0;40.0;36.0;38.0;37.0;36.0;37.0;34.0;38.0;32.0;41.0;31.0;42.0;30.0;43.0;30.0;45.0;29.0;47.0;30.0;50.0;31.0;52.0;32.0;54.0;34.0;55.0;36.0;57.0;38.0;57.0;40.0;55.0;42.0;51.0;43.0;50.0;44.0;46.0;45.0;45.0;45.0;42.0;46.0;41.0;46.0;36.0;45.0;38.0;44.0;41.0;44.0;50.0;45.0;53.0;46.0;54.0;47.0;55.0;50.0;54.0;a
39.0;22.0;40.0;23.0;39.0;26.0;38.0;28.0;38.0;31.0;37.0;34.0;37.0;37.0;36.0;42.0;36.0;45.0;35.0;49.0;34.0;53.0;34.0;57.0;35.0;57.0;36.0;57.0;37.0;57.0;38.0;57.0;39.0;56.0;41.0;55.0;43.0;54.0;44.0;53.0;45.0;52.0;47.0;50.0;48.0;48.0;47.0;46.0;47.0;44.0;46.0;41.0;43.0;39.0;40.0;39.0;38.0;39.0;37.0;40.0;36.0;40.0;35.0;40.0;b
48.0;33.0;50.0;33.0;50.0;33.0;50.0;33.0;50.0;33.0;49.0;33.0;48.0;32.0;46.0;32.0;45.0;33.0;43.0;33.0;40.0;34.0;37.0;35.0;36.0;36.0;35.0;37.0;33.0;39.0;32.0;42.0;31.0;45.0;31.0;48.0;31.0;50.0;31.0;51.0;31.0;52.0;32.0;53.0;32.0;54.0;33.0;55.0;35.0;55.0;36.0;55.0;38.0;55.0;39.0;54.0;43.0;53.0;46.0;53.0;48.0;52.0;49.0;52.0;c
46.0;35.0;44.0;34.0;41.0;34.0;35.0;35.0;32.0;40.0;31.0;44.0;29.0;49.0;30.0;55.0;31.0;56.0;36.0;58.0;40.0;54.0;44.0;49.0;45.0;45.0;46.0;42.0;48.0;35.0;51.0;22.0;51.0;19.0;49.0;25.0;48.0;27.0;47.0;33.0;45.0;37.0;44.0;41.0;42.0;45.0;41.0;49.0;41.0;53.0;42.0;56.0;45.0;56.0;47.0;55.0;48.0;54.0;50.0;53.0;51.0;51.0;55.0;48.0;d
39.0;44.0;40.0;45.0;41.0;45.0;43.0;45.0;46.0;45.0;47.0;45.0;49.0;44.0;50.0;43.0;50.0;39.0;49.0;36.0;47.0;34.0;46.0;34.0;43.0;35.0;42.0;37.0;40.0;38.0;39.0;39.0;38.0;41.0;37.0;43.0;36.0;45.0;36.0;47.0;35.0;51.0;35.0;55.0;35.0;57.0;36.0;62.0;38.0;64.0;39.0;64.0;40.0;64.0;42.0;64.0;44.0;64.0;46.0;64.0;48.0;64.0;50.0;63.0;e
32.0;33.0;33.0;34.0;35.0;35.0;42.0;32.0;43.0;31.0;45.0;29.0;47.0;28.0;49.0;26.0;50.0;25.0;51.0;23.0;51.0;10.0;50.0;10.0;49.0;10.0;47.0;10.0;45.0;13.0;43.0;17.0;42.0;19.0;40.0;28.0;39.0;32.0;38.0;36.0;34.0;53.0;25.0;65.0;29.0;59.0;32.0;55.0;38.0;47.0;39.0;45.0;41.0;43.0;43.0;42.0;45.0;41.0;48.0;41.0;49.0;41.0;50.0;41.0;f
40.0;22.0;38.0;22.0;37.0;22.0;36.0;22.0;35.0;22.0;33.0;23.0;32.0;23.0;31.0;24.0;30.0;25.0;32.0;32.0;33.0;32.0;34.0;32.0;36.0;32.0;37.0;31.0;39.0;30.0;42.0;31.0;38.0;55.0;37.0;63.0;36.0;66.0;35.0;69.0;33.0;71.0;32.0;73.0;30.0;74.0;26.0;74.0;29.0;64.0;31.0;60.0;33.0;55.0;35.0;49.0;36.0;47.0;37.0;45.0;39.0;44.0;43.0;41.0;g
25.0;48.0;27.0;47.0;29.0;45.0;32.0;42.0;37.0;37.0;39.0;35.0;40.0;33.0;42.0;31.0;45.0;27.0;45.0;18.0;44.0;18.0;40.0;21.0;39.0;22.0;38.0;24.0;37.0;26.0;36.0;29.0;34.0;36.0;31.0;48.0;29.0;55.0;28.0;57.0;26.0;61.0;24.0;63.0;33.0;49.0;35.0;46.0;36.0;45.0;37.0;45.0;39.0;45.0;39.0;52.0;38.0;53.0;39.0;60.0;40.0;60.0;44.0;56.0;h
36.0;27.0;35.0;27.0;34.0;28.0;34.0;29.0;33.0;30.0;32.0;32.0;31.0;34.0;31.0;36.0;30.0;38.0;30.0;41.0;30.0;43.0;30.0;44.0;30.0;46.0;31.0;47.0;32.0;48.0;33.0;49.0;34.0;49.0;36.0;50.0;37.0;50.0;38.0;50.0;39.0;49.0;40.0;49.0;41.0;48.0;41.0;47.0;42.0;15.0;43.0;15.0;44.0;15.0;44.0;14.0;44.0;14.0;44.0;14.0;44.0;14.0;43.0;14.0;i
46.0;25.0;46.0;27.0;45.0;28.0;45.0;30.0;44.0;33.0;43.0;37.0;40.0;47.0;39.0;51.0;38.0;55.0;37.0;58.0;37.0;60.0;36.0;62.0;35.0;64.0;34.0;65.0;33.0;66.0;31.0;68.0;32.0;65.0;32.0;62.0;33.0;60.0;34.0;56.0;35.0;52.0;36.0;48.0;37.0;45.0;39.0;43.0;40.0;42.0;42.0;42.0;44.0;42.0;45.0;43.0;46.0;43.0;49.0;42.0;51.0;41.0;50.0;7.0;j
